file,n,msimba_time,simba_time,gamba_time,msimba_solved,msimba_valid,simba_solved,simba_valid,gamba_solved,gamba_valid,gamba_n
e1_2vars,1000,0.6148185739968994,0.1581602150006347,0.11439865500142332,1000,1000,8,8,100,91,100
e1_3vars,1000,0.720636615999183,0.1776145629992243,5.383405381001467,1000,1000,0,0,100,75,100
e1_4vars,1000,1.3356452489965704,0.1902245439989656,63.654142429001695,1000,1000,0,0,100,94,100
e1_5vars,1000,6.819434355996009,0.15792835000092964,0.0,1000,1000,0,0,0,0,0
e1_6vars,1000,38.05419858700179,0.1980070169990995,0.0,1000,1000,0,0,0,0,0
e2_2vars,1000,0.59734079700047,0.16053349700086983,0.10839310200117325,1000,1000,9,9,100,99,100
e2_3vars,1000,0.6814347270035341,0.18617176499924426,13.278560928000388,1000,1000,0,0,100,87,100
e2_4vars,1000,1.3011365049976575,0.19774480100068104,63.563307421998616,1000,1000,0,0,100,92,100
e3_2vars,1000,0.604997395997998,0.15850961100045424,0.1270702740005163,1000,1000,9,9,100,81,100
e3_3vars,1000,0.7347411829998691,0.18375066000066909,2.584768118998909,1000,1000,0,0,100,70,100
e3_4vars,1000,1.3590775080003823,0.1989014049997877,70.73017834799953,1000,1000,0,0,100,98,100
e4_2vars,1000,0.6060558060030417,0.15582388799975888,0.1592354840004191,1000,1000,0,0,100,88,100
e4_3vars,1000,0.7259009159993184,0.18564804200082108,2.6092515459984043,1000,1000,0,0,100,73,100
e4_4vars,1000,1.3864780009926108,0.19782934000045316,65.03427735499963,1000,1000,0,0,100,98,100
e5_2vars,1000,0.6151828510007817,0.15577663200156167,0.1177881020012137,1000,1000,5,5,100,73,100
e5_3vars,1000,0.7410015599996314,0.17476184600127453,1.7365767600012987,1000,1000,0,0,100,36,100
e5_4vars,1000,1.6948104769953716,0.20299163199865689,69.43255763299862,1000,1000,0,0,100,92,100
