file,n,port_time,simba_time,port_solved,port_valid,simba_solved,simba_valid
e1_2vars,100,1.8282000001199776,1.6793847000953974,100,100,100,100
e1_3vars,100,1.860999700074899,1.6722492000844795,100,100,100,100
e1_4vars,100,3.637375800011796,1.8844929999759188,100,100,100,100
e1_5vars,100,11.886716700028046,2.641461999999592,100,100,100,100
e1_6vars,100,88.40804990002653,6.619695300105377,100,100,100,100
e2_2vars,100,1.8422226999973645,1.6586729000409832,100,100,100,100
e2_3vars,100,1.8940172000875464,1.657850299961865,100,100,100,100
e2_4vars,100,3.5981372999958694,1.88713410004857,100,100,100,100
e3_2vars,100,1.7945538000785746,1.6541171999269864,100,100,100,100
e3_3vars,100,1.9370259999705013,1.6750254998914897,100,100,100,100
e3_4vars,100,3.7471013999456773,1.927211900052498,100,100,100,100
e4_2vars,100,1.9024645000172313,1.6873519000364468,100,100,100,100
e4_3vars,100,1.9565928999800235,1.6682335999212228,100,100,100,100
e4_4vars,100,3.696056699962355,1.9273588999931235,100,100,100,100
e5_2vars,100,1.8208315999945626,1.6912966999952914,100,100,100,100
e5_3vars,100,1.8882145999668865,1.6602458999259397,100,100,100,100
e5_4vars,100,3.6642221999936737,1.925719000006211,100,100,100,100
pldi_linear,100,1.7995972000207985,1.662596699912683,100,100,100,100
pldi_poly,100,1.8109266999963438,1.6305897000129335,100,100,0,0
pldi_nonpoly,100,1.9488401000126032,1.6112640999781433,100,100,0,0
test_data,100,1.804250699991826,1.6848558000783669,100,100,100,100
mbablast_ds1,53,0.9204617000068538,0.7980867999867769,53,53,53,53
mbablast_ds2_8,100,1.6677596000372432,1.5435427999327658,100,100,100,100
